상호명,상권업종대분류명,상권업종중분류명,상권업종소분류명,시군구명,행정동명,법정동명,도로명주소,경도,위도,브랜드명
배스킨라빈스31춘천강북점,음식,패스트푸드,아이스크림판매,춘천시,신사우동,우두동,강원도 춘천시 충열로 10-13,127.7289023,37.90016873,배스킨라빈스
배스킨라빈스31횡성점,음식,패스트푸드,아이스크림판매,횡성군,횡성읍,횡성읍,강원도 횡성군 횡성읍 문정로 21,127.9860084,37.48987658,배스킨라빈스
베스킨라빈스,음식,패스트푸드,아이스크림판매,원주시,단구동,단구동,강원도 원주시 단구로 369,127.95736809999998,37.32321971,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,태백시,장성동,장성동,강원도 태백시 장성로 35-2,129.0098649,37.10184437,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,명륜2동,명륜동,강원도 원주시 남원로 441,127.9403175,37.32492446,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,홍천군,홍천읍,홍천읍,강원도 홍천군 홍천읍 홍천로 344,127.88365230000001,37.68834489,파리바게뜨
배스킨라빈스,음식,커피점/카페,커피전문점/카페/다방,영월군,영월읍,영월읍,강원도 영월군 영월읍 중앙로 17,128.4655943,37.18370136,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,속초시,교동,교동,강원도 속초시 미시령로 3361,128.5742015,38.20600361,파리바게뜨
배스킨라빈스,음식,패스트푸드,아이스크림판매,춘천시,강남동,온의동,강원도 춘천시 경춘로 2341,127.7172604,37.86395609,배스킨라빈스
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,주문진읍,주문진읍,강원도 강릉시 주문진읍 옛등대길 28,128.8333493,37.89758512,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,원주시,개운동,단구동,강원도 원주시 늘품로 187-58,127.964075,37.33734241,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,춘천시,강남동,온의동,강원도 춘천시 영서로 2319,127.7164213,37.866431899999995,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,강릉시,내곡동,내곡동,강원도 강릉시 범일로 645,128.8837234,37.74548720000001,파리바게뜨
파리바게뜨후평점,음식,제과제빵떡케익,제과점,춘천시,후평2동,후평동,강원도 춘천시 후석로 291-1,127.7515275,37.87734159,파리바게뜨
파리바게뜨,음식,제과제빵떡케익,제과점,인제군,인제읍,인제읍,강원도 인제군 인제읍 비봉로 9,128.17260359999997,38.06838431,파리바게뜨
