날짜,시도,시군구,사고건수,사망자수,중상자수,경상자수,부상신고자수
2019-07-16,강원,춘천시,3,0,3,2,0
2019-07-17,강원,춘천시,9,0,2,8,0
2019-07-18,강원,춘천시,4,0,0,7,0
2019-07-19,강원,춘천시,4,0,1,6,0
2019-07-20,강원,춘천시,4,0,2,2,0
2019-07-21,강원,춘천시,3,0,3,4,0
2019-07-22,강원,춘천시,4,0,1,3,1
2019-07-23,강원,춘천시,2,0,0,2,0
2019-07-24,강원,춘천시,7,0,1,10,0
2019-07-25,강원,춘천시,4,0,1,8,0
2019-07-26,강원,춘천시,5,0,2,4,0
2019-07-27,강원,춘천시,6,0,1,5,1
2019-07-28,강원,춘천시,2,0,1,2,0
2019-07-29,강원,춘천시,2,0,0,2,0
2019-07-30,강원,춘천시,15,0,3,19,1
2019-07-31,강원,춘천시,9,0,1,11,2
2019-08-01,강원,춘천시,4,0,0,7,0
2019-08-02,강원,춘천시,7,0,1,9,1
2019-08-03,강원,춘천시,6,0,6,5,5
2019-08-04,강원,춘천시,4,0,1,6,2
2019-08-05,강원,춘천시,5,0,2,3,0
2019-08-06,강원,춘천시,5,0,0,7,0
2019-08-07,강원,춘천시,6,0,1,13,0
2019-08-08,강원,춘천시,6,0,4,4,0
2019-08-09,강원,춘천시,10,0,4,12,0
2019-08-10,강원,춘천시,6,0,2,4,2
2019-08-11,강원,춘천시,3,0,0,4,0
2019-08-12,강원,춘천시,5,0,0,6,0
2019-08-13,강원,춘천시,7,0,0,20,0
2019-08-14,강원,춘천시,6,0,0,8,1
2019-08-15,강원,춘천시,2,0,0,12,0
2019-08-16,강원,춘천시,7,0,0,6,4
2019-08-17,강원,춘천시,4,0,1,3,0
2019-08-18,강원,춘천시,3,0,0,8,1
2019-08-19,강원,춘천시,2,0,0,2,0
2019-08-20,강원,춘천시,2,0,0,2,0
2019-08-21,강원,춘천시,2,0,2,1,0
2019-08-22,강원,춘천시,5,0,3,7,0
2019-08-23,강원,춘천시,7,0,1,7,1
2019-08-24,강원,춘천시,3,0,2,5,0
2019-08-25,강원,춘천시,10,0,3,11,0
2019-08-26,강원,춘천시,3,0,2,5,0
2019-08-27,강원,춘천시,4,0,0,4,0
2019-08-28,강원,춘천시,5,0,1,7,0
2019-08-29,강원,춘천시,6,0,0,11,1
2019-08-30,강원,춘천시,4,0,3,6,0
2019-08-31,강원,춘천시,5,0,2,6,1
2019-09-01,강원,춘천시,4,0,2,3,0
2019-09-02,강원,춘천시,5,0,0,6,0
2019-09-03,강원,춘천시,11,0,1,17,2
2019-09-04,강원,춘천시,4,0,0,4,0
2019-09-05,강원,춘천시,9,0,1,13,2
2019-09-06,강원,춘천시,2,0,1,1,0
2019-09-07,강원,춘천시,6,0,1,8,0
2019-09-08,강원,춘천시,4,1,0,3,0
2019-09-09,강원,춘천시,3,0,1,3,0
2019-09-10,강원,춘천시,8,1,3,12,1
