업소명,도로명주소,주요음식,신청일자,지정일자,재지정일자
행복한집,강원도 태백시 황지로 242-1 (황지동),일식(회),2010-05-31,2010-06-24,2013-07-10
태백산흑염소,강원도 태백시 연지로 30 (황지동),"염소전골, 탕",2009-06-05,2009-07-16,2020-11-26
태백으뜸한우,강원도 태백시 번영로 208 (황지동),"등심, 갈비살",2010-05-27,2010-06-24,2020-11-26
오투정,강원도 태백시 서학로 994 (황지동),돼지갈비,2009-06-05,2009-07-16,2020-11-26
그집한우,강원도 태백시 서학로 1096 (황지동),"한우등심, 갈비, 삼겹살",2015-09-01,2015-10-01,2020-11-26
태백부흥한우,강원도 태백시 해지개길 46 (황지동),"등심, 갈비살",2010-05-27,2010-06-24,2016-10-01
강산막국수,강원도 태백시 서학1길 79 (황지동),"막국수, 수육",2010-05-27,2010-06-24,2014-08-01
기와집갈비,강원도 태백시 짐대배기2길 4 (황지동),돼지갈비,2013-06-28,2013-07-10,2020-11-26
경남숯불갈비,강원도 태백시 태백로 898 (황지동),"돼지왕갈비, 한우갈비살",2012-07-13,2012-07-13,2020-11-26
한우사랑,"강원도 태백시 대학길 17 (황지동,나동)","등심,갈비탕",2011-06-17,2011-07-13,2014-08-01
삼교리동치미막국수태백점,강원도 태백시 황지연못길 9 (황지동),"도가니탕, 냉면",2012-07-13,2012-07-13,
달리는부대찌개,강원도 태백시 번영로 205 (황지동),"부대찌개, 전골",2015-09-01,2015-10-01,2020-11-26
촌돼지와보리밥,강원도 태백시 서학로 1032 (황지동),,2014-07-04,2014-08-01,2020-11-26
밥향기,강원도 태백시 황지로 129 (황지동),"생선찜, 가오리찜",2015-09-01,2015-10-01,
태백약초백숙,강원도 태백시 함태길 129 (황지동),,2020-10-28,2020-11-26,
황지검정콩수제비전문점,강원도 태백시 황지남3길 6 (황지동),"검정콩수제비, 칼국수, 만두",2015-09-01,2015-10-01,2020-11-26
엄마손태백물닭갈비,"강원도 태백시 황지연못길 9, 1층 (황지동)",태백물닭갈비,2016-08-24,2016-10-01,2020-11-26
찬이네감자탕,강원도 태백시 번영로 347 (황지동),"감자탕, 매운갈비찜",2016-08-30,2016-10-01,
육백뎐,강원도 태백시 용담1길 48-22 (소도동),한식(숯불구이),2018-10-10,2018-10-10,2020-11-26
시월의곳간,강원도 태백시 절골1길 118 (황지동),경양식,2018-10-10,2018-10-10,2020-11-26
황부자뷔페,"강원도 태백시 번영로 362, 한마음신협 (황지동)",,2020-11-03,2020-11-26,
단천식당,강원도 속초시 아바이마을길 17 (청호동),"회냉면, 순대국밥",2015-09-24,2015-11-17,2021-11-30
고성회관,강원도 속초시 청초호반로 308 (중앙동),"해물탕, 오징어순대",2004-05-30,2003-07-01,2016-11-04
진미회집,강원도 속초시 동해대로 3683 (대포동),"회,매운탕,물회",2003-05-30,2003-07-01,2009-07-01
천하갈비,강원도 속초시 번영로90번길 36 (금호동),"소갈비, 돼지갈비",2007-05-30,2007-06-30,2021-11-30
부영각,강원도 속초시 중앙로108번길 86 (중앙동),짜장면.짬뽕.볶음밥,2003-05-30,2003-07-01,2013-11-11
명성회집,강원도 속초시 장사항해안길 53 (장사동),"회,매운탕",2008-05-30,2008-06-26,2017-11-10
대포파도회집,강원도 속초시 대포항길 61 (대포동),"회,매운탕",2010-06-24,2010-08-02,2012-12-17
동해순대국집,강원도 속초시 중앙로129번길 35-17 (금호동),"순대국, 모듬순대",2012-10-12,2012-12-17,2017-11-10
명동레스토랑,강원도 속초시 중앙로129번길 6 (중앙동),"돈까스,스테이크",2006-05-30,2006-06-30,2009-07-01
신다신식당,강원도 속초시 아바이마을길 19 (청호동),아바이순대,2014-10-06,2014-11-12,2014-11-12
봄베이레스토랑,강원도 속초시 중앙로108번길 88 (중앙동),"돈가스,비후가스",2003-05-30,2003-07-01,2004-06-30
리얼깽크랩,"강원도 속초시 장사항해안길 49, 1,2층 (장사동)","물회, 게",2016-09-30,2016-11-04,2017-11-10
함흥냉면옥,"강원도 속초시 청초호반로 299, 1~2층 (금호동)","냉면, 갈비탕",2019-10-17,2019-11-21,2021-11-30
코리아횟집,"강원도 속초시 장사항해안길 21, 1~2층 (장사동)","모둠회, 물회",2003-05-30,2003-07-01,2021-11-30
순두부마을,강원도 속초시 설악산로 336 (도문동),"순두부,황태해장국",2009-06-08,2009-07-01,2020-11-30
영금정대게나라,"강원도 속초시 영랑해안길 17, 1,2층 (동명동)",회.매운탕,2003-05-30,2003-07-01,2010-08-02
한성면옥,강원도 속초시 밤골5길 28 (교동),"냉면,갈비탕",2003-05-30,2003-07-01,2004-06-30
이조면옥,"강원도 속초시 동해대로 3887, 1층 (조양동)","돈가스,비후가스",2003-05-30,2003-07-01,2004-06-30
명가복국,강원도 속초시 먹거리4길 35 (교동),복국,2007-05-30,2007-06-30,2021-11-30
장군뷔페,강원도 속초시 부월1길 15 (조양동),고기뷔페,2011-06-01,2011-07-05,2018-12-07
대원할머니순두부,강원도 속초시 원암학사평길 154 (노학동),"갈비,황태요리",2003-05-30,2003-07-01,
옥돌순두부,강원도 속초시 관광로 417 (노학동),"순두부, 황태구이",2019-10-11,2019-11-21,2021-11-30
옛날순두부,"강원도 속초시 원암학사평길 184, 1층 (노학동)",순두부백반.황태찜,2003-05-30,2003-07-01,2005-06-30
민속촌순두부,강원도 속초시 원암학사평길 124 (노학동),순두부백반,2003-05-30,2003-07-01,
해맞이,강원도 속초시 미시령로2983번길 111 (장사동),"된장찌개,전골류",2003-05-30,2003-07-01,2010-08-02
북한횟집,강원도 속초시 대포항길 31 (대포동),"모둠회, 대게",2017-09-27,2017-11-10,2021-11-30
한가족,"강원도 속초시 중앙로 213, 2층 (동명동)","생선구이,해물탕",2003-05-30,2003-05-30,
사돈집,강원도 속초시 영랑해안1길 8 (영랑동),물곰탕,2009-06-08,2009-07-01,2020-11-30
한송정가든,강원도 속초시 싸리재길 250 (노학동),"생등심, 생갈비",2003-05-30,2003-07-01,2021-11-30
설악스케치,강원도 속초시 관광로 156 (노학동),"산채정식,스테이크",2006-05-30,2006-06-30,2018-12-07
산마루순두부,강원도 속초시 원암학사평길 158 (노학동),순두부백반,2003-05-30,2003-07-01,2010-08-02
응봉할매,강원도 속초시 먹거리1길 18 (교동),냉면,2003-05-30,2003-07-01,2019-04-04
점봉산산채,"강원도 속초시 이목로 132, 1~2층 (노학동)","산채비빔밥, 버섯전골",2017-09-27,2017-11-10,2021-11-30
갈릴리회집,"강원도 속초시 장사항해안길 55 (장사동,외 2필지)","회,매운탕",2004-05-30,2004-06-30,2016-11-04
문어대장,강원도 속초시 먹거리4길 5 (교동),"불고기,주물럭,쌈밥",2003-05-30,2003-07-01,
동해촌,강원도 속초시 중앙로108번길 72 (중앙동),"아구찜,대구볼찜,복찜",2003-05-30,2003-07-01,
다원,강원도 속초시 중앙로 184-12 (중앙동),"회,매운탕",2008-05-30,2008-06-26,2019-11-21
이모회집,"강원도 속초시 장사항해안길 13, 1~2층 (장사동)","모둠회, 매운탕",2020-10-13,2020-11-30,2021-11-30
교동닭갈비,강원도 속초시 밤골2길 20 (교동),"갈비,생등심",2003-05-30,2003-07-01,2009-07-01
원조구들돌삼겹살,강원도 속초시 선사로1길 1-1 (조양동),삼겹살,2003-05-30,2003-07-01,2019-11-21
원조재래식할머니순두부,강원도 속초시 원암학사평길 177 (노학동),"순두부, 황태구이",2018-10-19,2018-12-07,2021-11-30
테라,강원도 속초시 먹거리1길 10 (교동),닭갈비,2004-05-30,2004-06-30,2007-06-30
왕부,강원도 속초시 바람꽃마을길 120 (노학동),중화요리,2008-05-30,2008-06-26,2009-07-01
미리내면옥,강원도 속초시 미리내길 51 (청호동),"회,매운탕,물회",2003-05-30,2003-07-01,2009-07-01
뱃고동횟집,강원도 속초시 장사항해안길 55 (장사동),"회,매운탕",2011-06-01,2011-07-05,2017-11-10
영금정활어회센터,"강원도 속초시 동명항길 47, 1~2층 (동명동)","회,매운탕",2003-05-30,2003-07-01,
수양숯불갈비,"강원도 속초시 중앙로108번길 90, 1층 (중앙동)",갈비.등심,2003-05-30,2003-07-01,
장사회집,"강원도 속초시 장사항해안길 39, 1~2층 (장사동)","회,매운탕",2003-05-30,2003-07-01,
신한산회집,강원도 속초시 장사항해안길 23 (장사동),"모둠회, 물회",2009-06-08,2009-07-01,2021-11-30
옐로우송버드,강원도 속초시 관광로 407 (노학동),순두부,2007-11-30,2007-12-03,2012-12-17
대청봉횟집,"강원도 속초시 대포항길 15, 1,2층 (대포동)","회,매운탕",2010-06-24,2010-08-02,2014-11-12
백두산횟집,"강원도 속초시 장사항해안길 37, 1~2층 (장사동)","회,매운탕",2003-05-30,2003-07-01,
방자고기,"강원도 속초시 엑스포로2길 6, 1층 (교동)","소고기, 삼겹살",2015-09-30,2015-11-17,2021-11-30
신돌섬대게횟집,강원도 속초시 영랑해안길 79 (영랑동),"모둠회, 대게",2003-05-30,2003-07-01,2021-11-30
월드클래스홀덤클럽,강원도 속초시 온천로 283 (교동),"감자탕, 막국수",2008-05-30,2008-06-26,2016-11-04
배가네찜,강원도 속초시 먹거리6길 9 (교동),생선찜,2018-10-19,2018-12-07,2021-11-30
당근마차,"강원도 속초시 영랑해안길 14, 1-2층 (동명동)",회.매운탕,2003-05-30,2003-07-01,
삼오정,강원도 속초시 먹거리6길 5 (교동),"삼겹살,냉면",2008-05-30,2008-06-26,2010-08-02
진솔할머니순두부,강원도 속초시 원암학사평길 118 (노학동),"순두부백반, 황태요리",2003-05-30,2003-07-01,2015-11-17
천일면옥,강원도 속초시 청대로351번길 9 (노학동),"냉면, 갈비탕",2017-02-15,2017-04-20,2021-11-30
설수산횟집,강원도 속초시 엑스포로 10-3 (조양동),"물회,섭국",2008-05-30,2008-06-26,2014-11-12
오대양회집,강원도 속초시 장사항해안길 56 (장사동),"모둠회, 대게",2003-05-30,2003-07-01,2021-11-30
김정옥할머니순두부(본점),강원도 속초시 원암학사평길 187 (노학동),순두부백반,2003-05-30,2003-07-01,2006-06-30
복골순두부,강원도 속초시 설악산로 32 (도문동),"얼큰순두부, 생선구이",2018-10-19,2018-12-07,2021-11-30
속초오징어짬뽕,"강원도 속초시 엑스포로2길 43, 1층 (교동)",등심.갈비,2003-05-30,2003-07-01,2010-08-02
궁중해장국본가,"강원도 속초시 관광로 445, 1층 (노학동)",궁중해장국.도가니탕,2003-05-30,2003-07-01,
궁중해장국,강원도 속초시 관광로 447 (노학동),"해장국, 전골류",2011-07-14,2011-07-05,2021-11-30
취미식당,강원도 속초시 청초호반로 305 (금호동),"생선구이, 회무침",2012-10-12,2012-12-17,2017-11-10
미시령통큰민물장어,강원도 속초시 원암학사평길 208 (노학동),순두부백반,2013-11-11,2013-11-11,2014-11-12
수원갈비,"강원도 속초시 엑스포로1길 28, 1층 (조양동)","돼지갈비, 삼겹살",2021-10-18,2021-11-30,
왕가수라청,강원도 속초시 신흥2길 40 (노학동),멧돼지,2014-10-06,2014-11-12,2015-11-17
도야족발보쌈속초점,강원도 속초시 먹거리8길 22 (교동),"갈비,생고기",2003-05-30,2003-07-01,2014-11-12
너도대게나도대게횟집,강원도 속초시 영금정로 38 (동명동),"회,매운탕",2011-06-01,2011-07-05,2015-11-17
속초청화대,강원도 속초시 장사항해안길 61 (장사동),"회, 매운탕",2003-05-30,2003-05-30,2016-11-04
단천면옥,강원도 속초시 소평로 131 (조양동),"회냉면, 모둠순대",2007-05-30,2007-06-30,2021-11-30
할머니감자탕전문점,강원도 속초시 청초호반로 186 (교동),감자탕,2016-09-29,2016-11-04,2021-11-30
금강산녹각삼계탕,강원도 속초시 먹거리6길 3 (교동),삼계탕,2003-05-30,2003-07-01,2021-11-30
대명회집,강원도 속초시 장사항해안길 25 (장사동),"회,매운탕",2003-05-30,2003-07-01,2016-11-04
의정부 부대찌개,강원도 속초시 먹거리2길 17 (교동),부대찌개,2012-10-12,2012-12-17,2014-11-12
노루뫼부대찌개,강원도 속초시 먹거리1길 16 (교동),"불고기,등심",2003-05-30,2003-07-01,
